Crop,NuContAvailable,YieldUnit,AvMoisture%,AvN%,AvP%,AvK%,YieldUnitWeight(lb)_set
Acorn,"N,P,K",lb of fruit,27.9,1.364771151,0.109570042,0.747572816,1
"Alfalfa + Orchardgrass, for hay","N,P",ton,9.7,2.479714286,0.267857143,#DIV/0!,"2,000"
"Alfalfa + Orchardgrass, for hay (cut 1)","N,P,K",ton,7.95,2.144,0.2,1.49,"2,000"
"Alfalfa + Smooth Brome, for green chop","N,P,K",ton,77.63,3.322074074,0.310555556,2.8,"2,000"
"Alfalfa + Smooth Brome, for hay","N,P,K",ton,11.58,2.41770852,0.271053812,1.897746637,"2,000"
"Alfalfa + Smooth Brome, for hay (cut 1)","N,P,K",ton,10.1,2.192,0.295,1.4,"2,000"
"Alfalfa + Smooth Brome, for hay (cut 2)","N,P",ton,10.2,2.192,0.21,#DIV/0!,"2,000"
"Alfalfa + Timothy, for green chop (50% alfalfa)","N,P,K",ton,78.08,3.364748858,0.368824201,2.239360731,"2,000"
"Alfalfa + Timothy, for hay","N,P,K",ton,10.37,2.172886905,0.211071429,2.16,"2,000"
"Alfalfa + Timothy, for hay (cut 1)","N,P",ton,9.8,1.792,0.14,#DIV/0!,"2,000"
"Alfalfa + Timothy, for hay (cut 2)","N,P",ton,9,2.8,0.21,#DIV/0!,"2,000"
"Alfalfa, for green chop","N,P,K",ton,76.5,3.206196721,0.27897541,2.608032787,"2,000"
"Alfalfa, for green chop (early bloom)","N,P,K",ton,76.18,3.351777778,0.292777778,2.717777778,"2,000"
"Alfalfa, for green chop (early bloom, cut 1)","N,P,K",ton,76.1,2.952,0.31,3.1,"2,000"
"Alfalfa, for green chop (early bloom, cut 2)","N,P,K",ton,74.6,2.864,0.38,2.95,"2,000"
"Alfalfa, for green chop (early bloom, cut 3)",N,ton,74.35,3.288,#DIV/0!,#DIV/0!,"2,000"
"Alfalfa, for green chop (full bloom)","N,P,K",ton,75.05,2.796419204,0.270739477,2.890978261,"2,000"
"Alfalfa, for green chop (full bloom, cut 1)","N,P,K",ton,75.3,2.528,0.4,2.88,"2,000"
"Alfalfa, for green chop (full bloom, cut 2)",N,ton,71.4,2.256,#DIV/0!,#DIV/0!,"2,000"
"Alfalfa, for green chop (full bloom, cut 3)",N,ton,71.2,2.208,#DIV/0!,#DIV/0!,"2,000"
"Alfalfa, for green chop (mid bloom)","N,P,K",ton,75.08,3.158580237,0.29166996,2.713478261,"2,000"
"Alfalfa, for green chop (mid bloom, cut 1)",N,ton,77.9,2.496,#DIV/0!,#DIV/0!,"2,000"
"Alfalfa, for green chop (mid bloom, cut 2)","P,K",ton,76.8,#DIV/0!,0.43,3.25,"2,000"
"Alfalfa, for green chop (pre bloom)","N,P,K",ton,78.34,3.487117588,0.343919598,2.267952261,"2,000"
"Alfalfa, for green chop (pre bloom, cut 1)","N,P,K",ton,82.9,3.488,0.39,3.4,"2,000"
"Alfalfa, for green chop (pre bloom, cut 2)","N,P,K",ton,76.95,3.376,0.375,3.39,"2,000"
"Alfalfa, for green chop (pre bloom, cut 3)",N,ton,76.8,3.92,#DIV/0!,#DIV/0!,"2,000"
"Alfalfa, for hay","N,P,K",ton,9.65,2.78879558,0.261298343,2.119198895,"2,000"
"Alfalfa, for hay (cut 1)","N,P,K",ton,9.9,2.616,0.35,2.48,"2,000"
"Alfalfa, for hay (cut 2)","N,P,K",ton,9.35,2.856,0.285,1.92,"2,000"
"Alfalfa, for hay (cut 3)","N,P,K",ton,10.3,2.968,0.19,2.47,"2,000"
"Alfalfa, for hay (early bloom)","N,P,K",ton,10.58,3.054446409,0.228798343,2.344198895,"2,000"
"Alfalfa, for hay (early bloom, cut 1)","N,P,K",ton,9.3,2.736,0.255,2.465,"2,000"
"Alfalfa, for hay (early bloom, cut 2)","N,P,K",ton,12,3.168,0.255,2.54,"2,000"
"Alfalfa, for hay (early bloom, cut 3)","N,P,K",ton,12.95,3.248,0.27,2.84,"2,000"
"Alfalfa, for hay (full bloom)","N,P,K",ton,11.12,2.618647514,0.238273481,1.764198895,"2,000"
"Alfalfa, for hay (full bloom, cut 1)","N,P,K",ton,15.25,2.392,0.22,1.99,"2,000"
"Alfalfa, for hay (full bloom, cut 2)",N,ton,12.7,2.592,#DIV/0!,#DIV/0!,"2,000"
"Alfalfa, for hay (full bloom, cut 3)",N,ton,12.35,1.96,#DIV/0!,#DIV/0!,"2,000"
"Alfalfa, for hay (mid bloom)","N,P,K",ton,10.76,2.805646409,0.251298343,1.779198895,"2,000"
"Alfalfa, for hay (mid bloom, cut 1)","N,P",ton,11.05,2.424,0.25,#DIV/0!,"2,000"
"Alfalfa, for hay (mid bloom, cut 2)","N,P,K",ton,9.2,2.736,0.31,3.25,"2,000"
"Alfalfa, for hay (mid bloom, cut 3)",N,ton,11.6,3.008,#DIV/0!,#DIV/0!,"2,000"
"Alfalfa, for hay (pre bloom)","N,P,K",ton,11.34,3.388963536,0.336160221,2.436160221,"2,000"
"Alfalfa, for hay (pre bloom, cut 1)","N,P,K",ton,17.4,2.528,0.29,2.8,"2,000"
"Alfalfa, for hay (pre bloom, cut 2)",N,ton,14,2.496,#DIV/0!,#DIV/0!,"2,000"
"Alfalfa, for hay (pre bloom, cut 3)",N,ton,15.4,3.168,#DIV/0!,#DIV/0!,"2,000"
"Alfalfa, for hay (late vegetative, cut 1)","N,P,K",ton,12.4,3.184,0.28,2.8,"2,000"
"Alfalfa, for hay (late vegetative, cut 2)","N,P,K",ton,13,3.216,0.37,3.39,"2,000"
"Alfalfa, for hay (late vegetative, cut 3)","N,P",ton,14,3.056,0.22,#DIV/0!,"2,000"
"Alfalfa, for seed",N,cwt,11.7,6.014795017,#DIV/0!,#DIV/0!,100
"Alfalfa, for silage (tenth bloom, cut 2)","N,P,K",ton,75.9,3.34,0.38,2.88,"2,000"
Almonds (without shell),"N,P,K",lb of seed,4.42,3.339610797,0.544046872,0.765850596,1
Alomond (with shell),N,lb of fruit,15,3.3,#DIV/0!,#DIV/0!,1
Apple,"N,P,K",lb of fruit ,81.78,0.338793093,0.051779714,0.747809583,48
Apricot,"N,P,K",lb of fruit ,86.35,1.641025641,0.139194139,2.168498169,24
"Artichoke-Globe, for bud","N,P,K",lb of fruit ,83,2.541176471,0.509411765,2,23
"Artichoke-Jerusalum, for tuber","N,P,K",lb of tuber,80.07,1.52,0.303333333,2.016666667,10
"Asparagus-Green, for shoot or spear (immature)","N,P",lb of stem ,92,5.55,0.69,#DIV/0!,30
"Asparagus-White, for shoot or spear (immature)","N,P",lb of stem ,93,4.342857143,0.742857143,#DIV/0!,30
Avocado (all varieties),"N,P,K",lb of fruit ,74.27,1.231247571,0.159347066,2.328021765,55
Avocado (Florida),"N,P,K",lb of fruit ,79.73,1.255056734,0.192402565,2.407498767,55
Avocadoe (California),"N,P,K",lb of fruit ,72.56,1.2303207,0.153061224,2.310495627,55
"Bahiagrass, for green chop","N,P,K",ton,69.7,1.322666667,0.173333333,2.055,"2,000"
"Bahiagrass, for hay","N,P",ton,9.83,1.52,0.2,#DIV/0!,"2,000"
"Bahiagrass, for hay (mature)",N,ton,9.1,0.752,#DIV/0!,#DIV/0!,"2,000"
Banana,"N,P,K",lb of fruit ,74.26,0.64024864,0.077700078,1.538461539,40
"Barley-2 row, for grain","N,P,K",bu,13.3,2.32,0.35,0.49,48
